data,hora,ip,latencia_media
2025-12-14,07:40,138.97.220.62,3.917
2025-12-14,07:40,138.97.220.57,6.099
2025-12-14,07:40,138.97.220.60,9.992
2025-12-14,07:40,138.97.220.65,4.375
2025-12-14,07:40,138.97.220.66,4.329
2025-12-14,07:40,138.97.220.69,4.404
2025-12-14,07:40,138.97.220.70,4.906
2025-12-14,07:40,8.8.8.8,7.104
2025-12-14,07:40,1.1.1.1,7.826
2025-12-14,07:42,138.97.220.58,4.878
2025-12-14,07:42,138.97.220.62,10.155
2025-12-14,07:42,138.97.220.57,4.797
2025-12-14,07:42,138.97.220.60,4.808
2025-12-14,07:42,138.97.220.65,4.106
2025-12-14,07:42,138.97.220.66,4.961
2025-12-14,07:42,138.97.220.69,5.129
2025-12-14,07:42,138.97.220.70,4.893
2025-12-14,07:42,8.8.8.8,7.113
2025-12-14,07:42,1.1.1.1,7.410
2025-12-14,07:43,138.97.220.58,12.695
2025-12-14,07:43,138.97.220.62,4.108
2025-12-14,07:43,138.97.220.57,9.441
2025-12-14,07:43,138.97.220.60,4.179
2025-12-14,07:43,138.97.220.65,4.186
2025-12-14,07:43,138.97.220.66,5.317
2025-12-14,07:43,138.97.220.69,4.312
2025-12-14,07:43,138.97.220.70,6.714
2025-12-14,07:43,8.8.8.8,16.608
2025-12-14,07:43,1.1.1.1,11.312
2025-12-14,07:45,138.97.220.58,5.042
2025-12-14,07:45,138.97.220.62,4.225
2025-12-14,07:45,138.97.220.57,5.803
2025-12-14,07:45,138.97.220.60,4.685
2025-12-14,07:45,138.97.220.65,4.438
2025-12-14,07:45,138.97.220.66,6.602
2025-12-14,07:45,138.97.220.69,6.329
2025-12-14,07:45,138.97.220.70,5.308
2025-12-14,07:45,8.8.8.8,8.668
2025-12-14,07:45,1.1.1.1,7.763
2025-12-14,07:47,138.97.220.58,4.965
2025-12-14,07:47,138.97.220.62,4.701
2025-12-14,07:47,138.97.220.57,4.402
2025-12-14,07:47,138.97.220.60,3.993
2025-12-14,07:47,138.97.220.65,4.355
2025-12-14,07:47,138.97.220.66,4.834
2025-12-14,07:47,138.97.220.69,4.442
2025-12-14,07:47,138.97.220.70,8.947
2025-12-14,07:47,8.8.8.8,9.455
2025-12-14,07:47,1.1.1.1,11.839
2025-12-14,07:48,138.97.220.58,4.222
2025-12-14,07:48,138.97.220.62,7.385
2025-12-14,07:48,138.97.220.57,4.684
2025-12-14,07:48,138.97.220.60,6.188
2025-12-14,07:48,138.97.220.65,4.738
2025-12-14,07:48,138.97.220.66,4.605
2025-12-14,07:48,138.97.220.69,11.223
2025-12-14,07:48,138.97.220.70,9.738
2025-12-14,07:48,8.8.8.8,6.691
2025-12-14,07:48,1.1.1.1,7.801
2025-12-14,07:50,138.97.220.58,5.044
2025-12-14,07:50,138.97.220.62,4.204
2025-12-14,07:50,138.97.220.57,4.184
2025-12-14,07:50,138.97.220.60,5.072
2025-12-14,07:50,138.97.220.65,4.281
2025-12-14,07:50,138.97.220.66,6.204
2025-12-14,07:50,138.97.220.69,4.522
2025-12-14,07:50,138.97.220.70,4.009
2025-12-14,07:50,8.8.8.8,7.313
2025-12-14,07:50,1.1.1.1,11.306
2025-12-14,07:52,138.97.220.58,5.393
2025-12-14,07:52,138.97.220.62,4.699
2025-12-14,07:52,138.97.220.57,5.053
2025-12-14,07:52,138.97.220.60,5.288
2025-12-14,07:52,138.97.220.65,3.983
2025-12-14,07:52,138.97.220.66,5.273
2025-12-14,07:52,138.97.220.69,5.779
2025-12-14,07:52,138.97.220.70,7.524
2025-12-14,07:52,8.8.8.8,6.993
2025-12-14,07:52,1.1.1.1,10.247
2025-12-14,07:53,138.97.220.58,4.308
2025-12-14,07:53,138.97.220.62,3.877
2025-12-14,07:53,138.97.220.57,3.046
2025-12-14,07:53,138.97.220.60,4.302
2025-12-14,07:53,138.97.220.65,4.647
2025-12-14,07:53,138.97.220.66,4.389
2025-12-14,07:53,138.97.220.69,4.733
2025-12-14,07:53,138.97.220.70,4.575
2025-12-14,07:53,8.8.8.8,7.759
2025-12-14,07:53,1.1.1.1,6.932
2025-12-14,07:55,138.97.220.58,4.909
2025-12-14,07:55,138.97.220.62,44.887
2025-12-14,07:55,138.97.220.57,8.742
2025-12-14,07:55,138.97.220.60,7.523
2025-12-14,07:55,138.97.220.65,4.062
2025-12-14,07:55,138.97.220.66,3.926
2025-12-14,07:55,138.97.220.69,20.838
2025-12-14,07:55,138.97.220.70,4.228
2025-12-14,07:55,8.8.8.8,7.059
2025-12-14,07:55,1.1.1.1,7.213
2025-12-14,07:57,138.97.220.58,4.326
2025-12-14,07:57,138.97.220.62,3.787
2025-12-14,07:57,138.97.220.57,3.870
2025-12-14,07:57,138.97.220.60,4.118
2025-12-14,07:57,138.97.220.65,3.936
2025-12-14,07:57,138.97.220.66,7.156
2025-12-14,07:57,138.97.220.69,3.953
2025-12-14,07:57,138.97.220.70,3.810
2025-12-14,07:57,8.8.8.8,6.519
2025-12-14,07:57,1.1.1.1,8.012
2025-12-14,07:58,138.97.220.58,5.532
2025-12-14,07:58,138.97.220.62,3.484
2025-12-14,07:58,138.97.220.57,3.224
2025-12-14,07:58,138.97.220.60,4.070
2025-12-14,07:58,138.97.220.65,3.967
2025-12-14,07:58,138.97.220.66,5.258
2025-12-14,07:58,138.97.220.69,3.500
2025-12-14,07:58,138.97.220.70,4.184
2025-12-14,07:58,8.8.8.8,6.182
2025-12-14,07:58,1.1.1.1,5.489
2025-12-14,08:00,138.97.220.58,4.507
2025-12-14,08:00,138.97.220.62,7.109
2025-12-14,08:00,138.97.220.57,3.582
2025-12-14,08:00,138.97.220.60,4.368
2025-12-14,08:00,138.97.220.65,4.046
2025-12-14,08:00,138.97.220.66,4.686
2025-12-14,08:00,138.97.220.69,4.842
2025-12-14,08:00,138.97.220.70,4.002
2025-12-14,08:00,8.8.8.8,7.015
2025-12-14,08:00,1.1.1.1,7.352
2025-12-14,08:02,138.97.220.58,3.617
2025-12-14,08:02,138.97.220.62,3.442
2025-12-14,08:02,138.97.220.57,4.079
2025-12-14,08:02,138.97.220.60,3.817
2025-12-14,08:02,138.97.220.65,4.160
2025-12-14,08:02,138.97.220.66,4.433
2025-12-14,08:02,138.97.220.69,4.241
2025-12-14,08:02,138.97.220.70,5.755
2025-12-14,08:02,8.8.8.8,5.416
2025-12-14,08:02,1.1.1.1,7.131
2025-12-14,08:03,138.97.220.58,4.539
2025-12-14,08:03,138.97.220.62,4.601
2025-12-14,08:03,138.97.220.57,4.199
2025-12-14,08:03,138.97.220.60,4.796
2025-12-14,08:03,138.97.220.65,4.399
2025-12-14,08:03,138.97.220.66,4.368
2025-12-14,08:03,138.97.220.69,4.539
2025-12-14,08:03,138.97.220.70,5.060
2025-12-14,08:03,8.8.8.8,6.978
2025-12-14,08:03,1.1.1.1,6.930
2025-12-14,08:05,138.97.220.58,4.660
2025-12-14,08:05,138.97.220.62,5.732
2025-12-14,08:05,138.97.220.57,3.794
2025-12-14,08:05,138.97.220.60,4.394
2025-12-14,08:05,138.97.220.65,4.006
2025-12-14,08:05,138.97.220.66,4.147
2025-12-14,08:05,138.97.220.69,4.056
2025-12-14,08:05,138.97.220.70,3.842
2025-12-14,08:05,8.8.8.8,10.702
2025-12-14,08:05,1.1.1.1,7.018
2025-12-14,08:07,138.97.220.58,4.116
2025-12-14,08:07,138.97.220.62,4.072
2025-12-14,08:07,138.97.220.57,4.731
2025-12-14,08:07,138.97.220.60,3.287
2025-12-14,08:07,138.97.220.65,3.358
2025-12-14,08:07,138.97.220.66,4.518
2025-12-14,08:07,138.97.220.69,3.899
2025-12-14,08:07,138.97.220.70,4.502
2025-12-14,08:07,8.8.8.8,7.414
2025-12-14,08:07,1.1.1.1,7.528
2025-12-14,08:08,138.97.220.58,3.243
2025-12-14,08:08,138.97.220.62,2.619
2025-12-14,08:08,138.97.220.57,3.064
2025-12-14,08:08,138.97.220.60,4.338
2025-12-14,08:08,138.97.220.65,3.968
2025-12-14,08:08,138.97.220.66,4.292
2025-12-14,08:08,138.97.220.69,5.029
2025-12-14,08:08,138.97.220.70,4.692
2025-12-14,08:08,8.8.8.8,6.164
2025-12-14,08:08,1.1.1.1,6.738
2025-12-14,08:10,138.97.220.58,3.619
2025-12-14,08:10,138.97.220.62,4.359
2025-12-14,08:10,138.97.220.57,4.066
2025-12-14,08:10,138.97.220.60,3.594
2025-12-14,08:10,138.97.220.65,4.123
2025-12-14,08:10,138.97.220.66,4.876
2025-12-14,08:10,138.97.220.69,3.970
2025-12-14,08:10,138.97.220.70,3.668
2025-12-14,08:10,8.8.8.8,10.863
2025-12-14,08:10,1.1.1.1,11.081
2025-12-14,08:12,138.97.220.58,3.793
2025-12-14,08:12,138.97.220.62,3.719
2025-12-14,08:12,138.97.220.57,4.330
2025-12-14,08:12,138.97.220.60,3.731
2025-12-14,08:12,138.97.220.65,2.176
2025-12-14,08:12,138.97.220.66,6.157
2025-12-14,08:12,138.97.220.69,3.788
2025-12-14,08:12,138.97.220.70,3.863
2025-12-14,08:12,8.8.8.8,7.234
2025-12-14,08:12,1.1.1.1,7.670
2025-12-14,08:13,138.97.220.58,4.354
2025-12-14,08:13,138.97.220.62,4.103
2025-12-14,08:13,138.97.220.57,3.914
2025-12-14,08:13,138.97.220.60,3.849
2025-12-14,08:13,138.97.220.65,5.158
2025-12-14,08:13,138.97.220.66,4.316
2025-12-14,08:13,138.97.220.69,4.003
2025-12-14,08:13,138.97.220.70,4.162
2025-12-14,08:13,8.8.8.8,6.713
2025-12-14,08:13,1.1.1.1,7.071
2025-12-14,08:15,138.97.220.58,29.863
2025-12-14,08:15,138.97.220.62,4.542
2025-12-14,08:15,138.97.220.57,4.368
2025-12-14,08:15,138.97.220.60,3.487
2025-12-14,08:15,138.97.220.65,3.328
2025-12-14,08:15,138.97.220.66,4.994
2025-12-14,08:15,138.97.220.69,3.781
2025-12-14,08:15,138.97.220.70,4.477
2025-12-14,08:15,8.8.8.8,6.368
2025-12-14,08:15,1.1.1.1,7.212
2025-12-14,08:17,138.97.220.58,3.816
2025-12-14,08:17,138.97.220.62,3.681
2025-12-14,08:17,138.97.220.57,3.054
2025-12-14,08:17,138.97.220.60,3.464
